# primitive nontrivial: X^3 +- Y^3 = A^4 + B^4, X>=Y, A>=B, gcd=1
# k=4  M=50000000  branch=sum
# X,Y,A,B,sign   (sign '+' means X^3+Y^3, '-' means X^3-Y^3)
24,17,11,8,+
133,45,39,19,+
176,161,52,39,+
960,641,170,133,+
1400,993,247,32,+
1681,840,270,73,+
1634,1417,291,78,+
3801,41,481,193,+
4337,4272,632,35,+
6457,887,690,456,+
7977,6377,935,227,+
8529,5528,935,398,+
9043,8669,1086,60,+
14771,2941,1338,456,+
16849,9928,1418,1145,+
19721,2201,1519,1239,+
22253,6885,1831,571,+
25113,10745,1883,1457,+
23901,5381,1903,913,+
25104,17777,2024,1469,+
20449,20368,2030,371,+
29849,3658,2262,825,+
29977,7202,2286,225,+
27217,26224,2486,167,+
37096,4401,2573,1644,+
33641,18226,2577,396,+
35149,16101,2595,1225,+
39881,11986,2841,288,+
42217,23097,3059,195,+
46850,14521,3090,1959,+
42669,39893,3275,2261,+
44928,31249,3318,215,+
47936,32321,3458,981,+
56133,23645,3713,401,+
61979,35653,4086,1470,+
65969,17432,4097,1806,+
69704,39777,4418,2131,+
76679,217,4518,2418,+
74176,23281,4529,266,+
90136,12721,4627,4076,+
77904,77393,4670,4633,+
70440,69793,4771,3618,+
79217,51072,5009,950,+
91169,15248,5060,3207,+
77912,77169,5117,3964,+
88296,77425,5466,4015,+
100205,15333,5623,1781,+
101257,7849,5677,257,+
103520,72753,5986,3809,+
118857,1129,6117,4087,+
116357,12269,6217,3021,+
109325,70181,6275,3177,+
157697,74384,6834,6811,+
129521,45176,6897,1222,+
137824,47233,7135,3388,+
110017,109009,7151,1861,+
138189,17717,7171,557,+
157633,77375,7308,6252,+
142801,25176,7356,197,+
145361,41361,7487,407,+
136087,120089,7602,5496,+
133933,111875,7764,3606,+
183793,10320,8029,6732,+
154625,104528,8336,1791,+
161689,89673,8387,675,+
143009,127992,8414,1757,+
172402,85529,8688,2691,+
215481,94201,8697,8459,+
163825,121576,8870,1393,+
180713,162754,9234,7365,+
229969,60808,9670,7769,+
214994,115513,9705,7146,+
183379,145373,9804,570,+
210277,64989,9883,2379,+
216605,18403,9972,4092,+
207712,134769,10178,5103,+
222593,23489,10245,2243,+
194128,163105,10297,4508,+
253888,69649,10490,8233,+
244489,12578,10992,2055,+
261233,15105,11477,4681,+
315305,78058,11817,10536,+
249193,226185,11859,9233,+
249601,178465,11935,5543,+
280101,44701,12027,5813,+
262049,147872,12062,2787,+
247517,198739,12312,2442,+
276289,193672,12331,8506,+
271665,166408,12531,764,+
290961,147041,12653,6833,+
280177,171504,12698,5679,+
325585,200568,13042,10809,+
302537,174969,13189,7267,+
324769,81712,13432,6887,+
286089,281657,13681,10177,+
356977,243304,13871,12298,+
345385,45386,14253,2250,+
345905,12513,14263,1459,+
307809,247208,14423,5620,+
403453,211715,14808,12828,+
376533,124685,15323,3731,+
426993,12440,15358,12209,+
444217,37177,15533,13105,+
475736,80465,15897,14510,+
395269,169437,16017,5327,+
421481,236266,16092,12039,+
512456,70961,17202,14753,+
452641,137616,17533,5394,+
445649,205632,17657,1186,+
388609,372337,18217,3637,+
509465,99223,18906,8592,+
505920,66833,18964,4619,+
512097,80984,19159,3052,+
440321,386936,19446,4187,+
536689,290337,19601,13317,+
542325,134093,19681,10441,+
545137,116032,19694,10705,+
635837,98229,20017,17669,+
589967,454177,20190,19092,+
614977,132529,21473,12221,+
602241,165976,21606,8443,+
625883,197509,22302,8610,+
618115,329693,22518,11046,+
545153,516704,22815,13052,+
563402,462409,22956,1377,+
603913,399289,22975,8527,+
656309,366477,23059,14893,+
637241,289545,23065,2233,+
692497,408984,23157,18332,+
666569,181042,23421,5886,+
708625,481103,23454,20142,+
621193,503114,23505,15768,+
764849,64712,23708,19053,+
617633,432209,23715,2689,+
698744,46257,23948,10541,+
873824,49697,24924,23033,+
771441,514456,25199,20934,+
743432,318417,25529,11650,+
705530,560473,25959,16446,+
779496,70081,26193,7568,+
888149,210957,26533,21517,+
831393,295784,26834,16925,+
701661,573365,27029,3815,+
789085,382931,27198,4080,+
829913,117274,27417,9510,+
891425,306936,27428,20345,+
807697,504624,28272,11339,+
842253,475109,28745,12179,+
918457,245049,29071,16563,+
1099985,398208,29168,28613,+
1040653,569205,29991,26623,+
1075953,49960,30106,25521,+
825104,668417,30288,11711,+
1008877,17987,30330,20616,+
1029561,520121,30541,24529,+
899217,553552,30744,7595,+
967697,363104,31056,12427,+
897185,711288,31129,19448,+
906257,594368,31255,210,+
1016977,125592,31445,16608,+
996757,216957,31625,3909,+
984865,436816,31640,13817,+
1007482,216617,31815,9528,+
1023449,43497,32177,3329,+
1048672,778369,32276,27103,+
974945,610176,32770,5101,+
1008833,532440,32918,7691,+
1040001,375761,32941,4633,+
958881,901720,32995,25602,+
1092154,42953,33135,17664,+
953233,816239,34272,13200,+
1103921,373416,34381,3188,+
1130689,443137,34489,18521,+
1094792,474929,34508,6003,+
1317808,302817,35250,29645,+
949585,937823,35256,19206,+
1276817,991409,35543,34761,+
1232353,182209,35815,21953,+
1155632,909969,35831,28378,+
1018873,971594,36030,23199,+
1210027,508037,36312,20130,+
1220664,268433,36821,1000,+
1213025,507528,36928,15383,+
1159273,687769,37045,899,+
1171093,826509,37385,21591,+
1498913,85784,38770,32451,+
1204945,899968,39611,11336,+
1143097,1100954,40173,21744,+
1317073,1088735,40194,31344,+
